key              corpus     median      q25      q75      min      max     CV
a_on_person_px   AUDIT      0.0000   0.0000   0.0000   0.0000   1.0000   2.83  n=9
a_on_person_px   CT         0.0000   0.0000   0.9922   0.0000   1.0000   1.39  n=13
a_on_person_px   CT_TOP     0.0000   0.0000   0.1862   0.0000   1.0000   1.76  n=6
a_on_person_px   CT_BOT     0.0000   0.0000   0.9929   0.0000   1.0000   1.15  n=7

a_ray_to_person  ALL        0.0262   0.0004   0.0416  -1.0000   0.2000  20.48  n=22
a_ray_to_person  AUDIT      0.0203   0.0117   0.0336  -1.0000   0.0492   3.55  n=9
a_ray_to_person  CT         0.0336   0.0000   0.0547   0.0000   0.2000   1.23  n=13
a_ray_to_person  CT_TOP     0.0402   0.0105   0.0518   0.0000   0.1055   0.88  n=6
a_ray_to_person  CT_BOT     0.0289   0.0000   0.0539   0.0000   0.2000   1.39  n=7

a_tip_clearance  ALL        0.0233   0.0032   0.0330   0.0000   0.2524   1.54  n=22
a_tip_clearance  AUDIT      0.0217   0.0117   0.0261   0.0000   0.2524   1.62  n=9
a_tip_clearance  CT         0.0278   0.0000   0.0337   0.0000   0.0721   0.95  n=13
a_tip_clearance  CT_TOP     0.0261   0.0065   0.0330   0.0000   0.0581   0.82  n=6
a_tip_clearance  CT_BOT     0.0278   0.0000   0.0419   0.0000   0.0721   1.02  n=7

a_body_clearance ALL        0.0633   0.0114   0.0820   0.0000   0.2634   0.91  n=22
a_body_clearance AUDIT      0.0623   0.0539   0.0686   0.0000   0.2634   0.88  n=9
a_body_clearance CT         0.0643   0.0000   0.0826   0.0000   0.1045   0.82  n=13
a_body_clearance CT_TOP     0.0605   0.0142   0.0780   0.0000   0.0950   0.75  n=6
a_body_clearance CT_BOT     0.0772   0.0000   0.0853   0.0000   0.1045   0.88  n=7

e_area           ALL        0.0694   0.0395   0.1128   0.0000   0.3546   0.88  n=37
e_area           AUDIT      0.1403   0.1016   0.2313   0.0694   0.3546   0.51  n=12
e_area           CT         0.0480   0.0328   0.0775   0.0000   0.1222   0.65  n=25
e_area           CT_TOP     0.0484   0.0361   0.0867   0.0246   0.1222   0.50  n=15
e_area           CT_BOT     0.0407   0.0008   0.0590   0.0000   0.0944   0.89  n=10

e_cx             ALL        0.3730   0.0871   0.5238   0.0000   0.9441   0.76  n=37
e_cx             AUDIT      0.3877   0.2674   0.5106   0.0641   0.7523   0.49  n=12
e_cx             CT         0.3730   0.0684   0.5625   0.0000   0.9441   0.86  n=25
e_cx             CT_TOP     0.4348   0.2271   0.7146   0.0363   0.9441   0.70  n=15
e_cx             CT_BOT     0.1064   0.0171   0.3709   0.0000   0.9297   1.16  n=10

e_cy             ALL        0.2764   0.1979   0.5799   0.0000   0.9965   0.72  n=37
e_cy             AUDIT      0.5865   0.2637   0.7384   0.0347   0.9181   0.56  n=12
e_cy             CT         0.2257   0.1833   0.3528   0.0000   0.9965   0.75  n=25
e_cy             CT_TOP     0.2257   0.1906   0.3250   0.1076   0.5799   0.47  n=15
e_cy             CT_BOT     0.2681   0.0524   0.3509   0.0000   0.9965   0.97  n=10

ee_area          ALL        0.1762   0.1375   0.2389   0.0000   0.4667   0.59  n=37
ee_area          AUDIT      0.3432   0.2843   0.3910   0.2134   0.4667   0.24  n=12
ee_area          CT         0.1640   0.1109   0.1762   0.0000   0.2389   0.52  n=25
ee_area          CT_TOP     0.1643   0.1294   0.1734   0.0773   0.2246   0.23  n=15
ee_area          CT_BOT     0.1261   0.0014   0.2109   0.0000   0.2389   0.88  n=10

ee_cx            ALL        0.5000   0.3258   0.5301   0.0000   0.9301   0.50  n=37
ee_cx            AUDIT      0.5000   0.3398   0.5000   0.2711   0.7316   0.27  n=12
ee_cx            CT         0.5000   0.3160   0.7043   0.0000   0.9301   0.58  n=25
ee_cx            CT_TOP     0.5301   0.3684   0.7162   0.1270   0.9301   0.40  n=15
ee_cx            CT_BOT     0.3277   0.0289   0.4972   0.0000   0.7254   0.82  n=10

ee_cy            ALL        0.6562   0.4444   0.7667   0.0000   0.9972   0.43  n=37
ee_cy            AUDIT      0.8014   0.7418   0.8399   0.6132   0.8910   0.10  n=12
ee_cy            CT         0.5069   0.3722   0.6757   0.0000   0.9972   0.52  n=25
ee_cy            CT_TOP     0.5069   0.4177   0.6990   0.1042   0.7826   0.35  n=15
ee_cy            CT_BOT     0.5309   0.0901   0.6554   0.0000   0.9972   0.75  n=10

matte_cov        ALL        0.5599   0.4143   0.6276   0.1836   0.8644   0.30  n=37
matte_cov        AUDIT      0.3368   0.2834   0.4289   0.1836   0.5732   0.31  n=12
matte_cov        CT         0.6016   0.5504   0.6500   0.3664   0.8644   0.17  n=25
matte_cov        CT_TOP     0.6016   0.5665   0.6493   0.3664   0.8644   0.18  n=15
matte_cov        CT_BOT     0.6105   0.5375   0.6469   0.3972   0.7406   0.15  n=10

